 Matrix Size  Number of Processors  Total Time (s)
           4                     1        0.000037
           4                     4        0.000052
           8                     1        0.000034
           8                     4        0.000043
          12                     1        0.000039
          12                     4        0.000045
          16                     1        0.000042
          16                     4        0.000053
          20                     1        0.000054
          20                     4        0.000069
          24                     1        0.000074
          24                     4        0.000078
          28                     1        0.000093
          28                     4        0.000068
          32                     1        0.000133
          32                     4        0.000125
          36                     1        0.000169
          36                     4        0.000125
          40                     1        0.000217
          40                     4        0.000145
          80                     1        0.001750
          80                     4        0.000526
         100                     1        0.003366
         100                     4        0.000935
         500                     1        0.353588
         500                     4        0.092044
        2000                     1       54.786404
        2000                     4       11.288920
